true\predicted,aftershock_information_query,building_collapse_report,building_damage_check,earthquake_occurring_report,emergency_contact_request,evacuation_guidance_query,fallback_unclear,family_member_missing,family_reunification_status,fire_incident_report,first_aid_query,food_water_request,gas_leak_report,goodbye_thanks,greeting,injury_report,medical_emergency_request,power_outage_report,preparedness_tips_query,road_blockage_report,safe_location_query,shelter_request,sos_help_request,status_check_general,trapped_debris_report
aftershock_information_query,21,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
building_collapse_report,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
building_damage_check,0,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
earthquake_occurring_report,0,0,0,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emergency_contact_request,0,0,0,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evacuation_guidance_query,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fallback_unclear,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
family_member_missing,0,0,1,0,0,0,8,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
family_reunification_status,0,0,0,0,0,0,7,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
fire_incident_report,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
first_aid_query,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,3,3,0
food_water_request,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,7,0,0,0
gas_leak_report,0,0,1,0,0,0,2,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
goodbye_thanks,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0
greeting,0,0,0,0,0,0,2,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
injury_report,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,36,6,0,0,0,0,0,1,0,0
medical_emergency_request,0,18,0,0,0,0,4,0,0,0,4,0,0,0,0,0,18,0,0,0,0,0,4,0,0
power_outage_report,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
preparedness_tips_query,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
road_blockage_report,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0
safe_location_query,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0
shelter_request,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,31,0,0,0
sos_help_request,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,40,0,0
status_check_general,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0
trapped_debris_report,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
