intent,support,tp,fp,fn,precision,recall,f1
status_check_general,21,8,20,13,0.2857,0.3810,0.3265
fallback_unclear,29,25,47,4,0.3472,0.8621,0.4950
medical_emergency_request,48,18,6,30,0.7500,0.3750,0.5000
first_aid_query,17,9,4,8,0.6923,0.5294,0.6000
building_collapse_report,31,27,30,4,0.4737,0.8710,0.6136
building_damage_check,25,17,6,8,0.7391,0.6800,0.7083
family_reunification_status,55,36,0,19,1.0000,0.6545,0.7912
food_water_request,29,22,3,7,0.8800,0.7586,0.8148
shelter_request,36,31,9,5,0.7750,0.8611,0.8158
injury_report,45,36,2,9,0.9474,0.8000,0.8675
sos_help_request,42,40,10,2,0.8000,0.9524,0.8696
preparedness_tips_query,20,16,0,4,1.0000,0.8000,0.8889
safe_location_query,28,24,2,4,0.9231,0.8571,0.8889
aftershock_information_query,26,21,0,5,1.0000,0.8077,0.8936
family_member_missing,49,40,0,9,1.0000,0.8163,0.8989
gas_leak_report,24,20,0,4,1.0000,0.8333,0.9091
emergency_contact_request,19,16,0,3,1.0000,0.8421,0.9143
trapped_debris_report,48,42,0,6,1.0000,0.8750,0.9333
road_blockage_report,38,38,5,0,0.8837,1.0000,0.9383
greeting,37,35,2,2,0.9459,0.9459,0.9459
fire_incident_report,42,42,1,0,0.9767,1.0000,0.9882
earthquake_occurring_report,45,44,0,1,1.0000,0.9778,0.9888
evacuation_guidance_query,26,26,0,0,1.0000,1.0000,1.0000
goodbye_thanks,37,37,0,0,1.0000,1.0000,1.0000
power_outage_report,27,27,0,0,1.0000,1.0000,1.0000
