S.N.,Agency / Organization,Phone Number
1,Nepal Police (General Emergency),100
2,Fire Brigade,101
3,Ambulance,102
4,Traffic Police,103
5,Missing/Child Search Response,104
6,CIAA (Commission for the Investigation of Abuse of Authority),107
7,Kathmandu Valley - Nepal Army,105
8,Child Helpline,1098
9,Tourist Police,1144
10,Armed Police Force,1114
11,Women Helpline,1145
12,Bipad Helpline (Disaster Emergency),1234
13,Home Ministry Control Room,1112
14,Nepal Red Cross Society Emergency Service,1130
15,Natural Disaster Reporting Line,1149
16,Nepal Electricity Authority Fault Line,1151
17,Nepal Telecom Directory Enquiry,197
18,Patan Mental Hospital,1166
